,ICSA
2012-12-08,12.736700896592344
2012-12-15,12.782686009834167
2012-12-22,12.799399490807907
2012-12-29,12.799399490807907
2013-01-05,12.802158113246987
2013-01-12,12.748396936355535
2013-01-19,12.733755386362587
2013-01-26,12.810388612383504
2013-02-02,12.796633237315017
2013-02-09,12.757080058928997
2013-02-16,12.799399490807907
2013-02-23,12.742566016044742
2013-03-02,12.736700896592344
2013-03-09,12.745485726148077
2013-03-16,12.745485726148077
2013-03-23,12.788288265382837
2013-03-30,12.834681304952548
2013-04-06,12.791077667470416
2013-04-13,12.782686009834167
2013-04-20,12.745485726148077
2013-04-27,12.7098736543592
2013-05-04,12.721885810807203
2013-05-11,12.793859310432293
2013-05-18,12.745485726148077
2013-05-25,12.774223335915433
2013-06-01,12.75419405403986
2013-06-08,12.727838209334498
2013-06-15,12.774223335915433
2013-06-22,12.757080058928997
2013-06-29,12.736700896592344
2013-07-06,12.768541502448002
2013-07-13,12.748396936355535
2013-07-20,12.779873068457553
2013-07-27,12.718896271958837
2013-08-03,12.733755386362587
2013-08-10,12.697715449879391
2013-08-17,12.736700896592344
2013-08-24,12.724866438945341
2013-08-31,12.691580461311874
2013-09-07,12.611537753638338
2013-09-14,12.685407602204794
2013-09-21,12.65714826489039
2013-09-28,12.672946381766982
2013-10-05,12.815838217151068
2013-10-12,12.815838217151068
2013-10-19,12.768541502448002
2013-10-26,12.757080058928997
2013-11-02,12.742566016044742
2013-11-09,12.736700896592344
2013-11-16,12.7098736543592
2013-11-23,12.66349749256905
2013-11-30,12.65075846679162
2013-12-07,12.777052192115912
2013-12-14,12.804909146618877
2013-12-21,12.718896271958837
2013-12-28,12.712890247898626
2014-01-04,12.682306824526545
2014-01-11,12.669806661762314
2014-01-18,12.697715449879391
2014-01-25,12.736700896592344
2014-02-01,12.7098736543592
2014-02-08,12.727838209334498
2014-02-15,12.712890247898626
2014-02-22,12.739637756265655
2014-03-01,12.672946381766982
2014-03-08,12.682306824526545
2014-03-15,12.679196402112153
2014-03-22,12.65395846952229
2014-03-29,12.706847933442663
2014-04-05,12.647548191161372
2014-04-12,12.637855061955712
2014-04-19,12.697715449879391
2014-04-26,12.751299696013497
2014-05-03,12.691580461311874
2014-05-10,12.621488084491506
2014-05-17,12.688498794774466
2014-05-24,12.628067055589549
2014-05-31,12.65075846679162
2014-06-07,12.666657052859417
2014-06-14,12.65714826489039
2014-06-21,12.66032791780777
2014-06-28,12.637855061955712
2014-07-05,12.618182296357007
2014-07-12,12.637855061955712
2014-07-19,12.591335046320818
2014-07-26,12.621488084491506
2014-08-02,12.594730635321957
2014-08-09,12.641096555879882
2014-08-16,12.621488084491506
2014-08-23,12.611537753638338
2014-08-30,12.621488084491506
2014-09-06,12.634603026569334
2014-09-13,12.570715759118084
2014-09-20,12.594730635321957
2014-09-27,12.577636201962656
2014-10-04,12.587927887999204
2014-10-11,12.546109948315882
2014-10-18,12.577636201962656
2014-10-25,12.581078546153629
2014-11-01,12.542544882151386
2014-11-08,12.581078546153629
2014-11-15,12.587927887999204
2014-11-22,12.621488084491506
2014-11-29,12.581078546153629
2014-12-06,12.581078546153629
2014-12-13,12.56374708980199
2014-12-20,12.528156144699286
